setting,axis,topic,trust_alpha,trust_beta,trust_div_rho,trust_div_mode,n_queries,avg_s_trust_at_k,high_trust_ratio,community_coverage,community_entropy,avg_query_relevance
rho_0.7,rho,abortion,0.7,0.3,0.7,community,30,0.8019110000000002,0.8733333333333333,9.133333333333333,3.1343792198657288,0.43977851172288246
rho_0.7,rho,climate_change,0.7,0.3,0.7,community,30,0.7643559999999998,0.6433333333333333,7.266666666666667,2.604023045205241,0.3659419358770053
rho_0.7,rho,economy_jobs,0.7,0.3,0.7,community,30,0.7506603333333334,0.5533333333333332,8.433333333333334,2.8959065536446156,0.35694688012202574
rho_0.7,rho,free_speech,0.7,0.3,0.7,community,30,0.7689500000000001,0.6966666666666665,8.833333333333334,3.0677125531990614,0.3891444379587968
rho_0.7,rho,gun_control,0.7,0.3,0.7,community,30,0.7616646666666667,0.5966666666666668,8.6,2.9789485849220916,0.43543770770231893
rho_0.7,rho,immigration,0.7,0.3,0.7,community,30,0.7560513333333335,0.8099999999999999,9.533333333333333,3.2115300432914844,0.39833940158287684
rho_0.7,rho,voting_rights_and_voter_fraud,0.7,0.3,0.7,community,30,0.7456263333333333,0.5966666666666666,9.266666666666667,3.1677125531990615,0.4177748655279477
rho_0.9,rho,abortion,0.7,0.3,0.9,community,30,0.8221320000000001,0.87,5.466666666666667,2.15742859665689,0.45500805993874877
rho_0.9,rho,climate_change,0.7,0.3,0.9,community,30,0.7628213333333332,0.6466666666666666,5.033333333333333,1.8914214927229491,0.38108945469061534
rho_0.9,rho,economy_jobs,0.7,0.3,0.9,community,30,0.7700593333333334,0.64,5.566666666666666,1.9849476807595154,0.3681554700930913
rho_0.9,rho,free_speech,0.7,0.3,0.9,community,30,0.7666749999999998,0.67,6.033333333333333,2.3600752217217944,0.4083712099989256
rho_0.9,rho,gun_control,0.7,0.3,0.9,community,30,0.7827846666666668,0.6900000000000001,5.8,2.1957319920257725,0.4450314370791118
rho_0.9,rho,immigration,0.7,0.3,0.9,community,30,0.7516626666666668,0.7533333333333334,7.666666666666667,2.7537856681833097,0.4103511787454286
rho_0.9,rho,voting_rights_and_voter_fraud,0.7,0.3,0.9,community,30,0.749452,0.5599999999999999,6.566666666666666,2.5284201999351863,0.43307635029156993
rho_1.0,rho,abortion,0.7,0.3,1.0,off,30,0.834174666666667,0.8766666666666666,3.7333333333333334,1.6562135034015555,0.453226563235124
rho_1.0,rho,climate_change,0.7,0.3,1.0,off,30,0.7611506666666666,0.6399999999999999,3.8,1.5087128966097496,0.3839320525527
rho_1.0,rho,economy_jobs,0.7,0.3,1.0,off,30,0.7773850000000001,0.67,3.7666666666666666,1.388492455971356,0.3679319045941035
rho_1.0,rho,free_speech,0.7,0.3,1.0,off,30,0.7639303333333333,0.6466666666666665,4.7,1.9796447338236,0.4119308349490165
rho_1.0,rho,gun_control,0.7,0.3,1.0,off,30,0.7929046666666665,0.7466666666666666,4.033333333333333,1.6821385421742991,0.4442375812927882
rho_1.0,rho,immigration,0.7,0.3,1.0,off,30,0.749808,0.7066666666666668,5.6,2.212719751667304,0.4142119500041008
rho_1.0,rho,voting_rights_and_voter_fraud,0.7,0.3,1.0,off,30,0.7520396666666666,0.5466666666666666,4.9,2.063925442207414,0.43488685836394614
